mag,effectif,mag,Pays_Cotier
0.0,305,0.0,oui
0.01,23,0.01,oui
0.02,12,0.02,oui
0.03,22,0.03,oui
0.04,23,0.04,oui
0.05,16,0.05,oui
0.06,25,0.06,oui
0.07,22,0.07,oui
0.08,30,0.08,oui
0.09,22,0.09,oui
0.1,663,0.1,oui
0.11,71,0.11,oui
0.12,80,0.12,oui
0.13,81,0.13,oui
0.14,82,0.14,oui
0.15,85,0.15,oui
0.16,80,0.16,oui
0.17,88,0.17,oui
0.18,134,0.18,oui
0.19,136,0.19,oui
0.2,1199,0.2,oui
0.21,138,0.21,oui
0.22,121,0.22,oui
0.23,133,0.23,oui
0.24,140,0.24,oui
0.25,141,0.25,oui
0.26,147,0.26,oui
0.27,138,0.27,oui
0.28,169,0.28,oui
0.29,133,0.29,oui
0.3,1465,0.3,oui
0.31,159,0.31,oui
0.32,165,0.32,oui
0.33,196,0.33,oui
0.34,166,0.34,oui
0.35,187,0.35,oui
0.36,181,0.36,oui
0.37,168,0.37,oui
0.38,195,0.38,oui
0.39,159,0.39,oui
0.4,1960,0.4,oui
0.41,165,0.41,oui
0.42,133,0.42,oui
0.43,294,0.43,oui
0.44,154,0.44,oui
0.45,186,0.45,oui
0.46,203,0.46,oui
0.47,176,0.47,oui
0.48,173,0.48,oui
0.49,173,0.49,oui
0.5,2182,0.5,oui
0.51,165,0.51,oui
0.52,178,0.52,oui
0.53,214,0.53,oui
0.54,166,0.54,oui
0.55,292,0.55,oui
0.56,298,0.56,oui
0.57,206,0.57,oui
0.58,208,0.58,oui
0.59,168,0.59,oui
0.6,2621,0.6,oui
0.61,211,0.61,oui
0.62,184,0.62,oui
0.63,180,0.63,oui
0.64,170,0.64,oui
0.65,191,0.65,oui
0.66,183,0.66,oui
0.67,196,0.67,oui
0.68,203,0.68,oui
0.69,226,0.69,oui
0.7,2408,0.7,oui
0.71,196,0.71,oui
0.72,205,0.72,oui
0.73,195,0.73,oui
0.74,214,0.74,oui
0.75,192,0.75,oui
0.76,217,0.76,oui
0.77,198,0.77,oui
0.78,215,0.78,oui
0.79,218,0.79,oui
0.8,2717,0.8,oui
0.81,231,0.81,oui
0.82,217,0.82,oui
0.83,224,0.83,oui
0.84,224,0.84,oui
0.85,228,0.85,oui
0.86,232,0.86,oui
0.87,236,0.87,oui
0.88,274,0.88,oui
0.89,218,0.89,oui
0.9,3479,0.9,oui
0.91,199,0.91,oui
0.92,178,0.92,oui
0.93,205,0.93,oui
0.94,183,0.94,oui
0.95,195,0.95,oui
0.96,197,0.96,oui
0.97,192,0.97,oui
0.98,179,0.98,oui
0.99,186,0.99,oui
1.0,3341,1.0,oui
1.01,197,1.01,oui
1.02,209,1.02,oui
1.03,240,1.03,oui
1.04,192,1.04,oui
1.05,182,1.05,oui
1.06,210,1.06,oui
1.07,182,1.07,oui
1.08,195,1.08,oui
1.09,171,1.09,oui
1.1,3459,1.1,oui
1.11,181,1.11,oui
1.12,208,1.12,oui
1.13,207,1.13,oui
1.14,214,1.14,oui
1.15,182,1.15,oui
1.16,182,1.16,oui
1.17,206,1.17,oui
1.18,183,1.18,oui
1.19,175,1.19,oui
1.2,3464,1.2,oui
1.21,143,1.21,oui
1.22,174,1.22,oui
1.23,174,1.23,oui
1.24,186,1.24,oui
1.25,166,1.25,oui
1.26,142,1.26,oui
1.27,155,1.27,oui
1.28,125,1.28,oui
1.29,135,1.29,oui
1.3,3087,1.3,oui
1.31,138,1.31,oui
1.32,136,1.32,oui
1.33,146,1.33,oui
1.34,135,1.34,oui
1.35,160,1.35,oui
1.36,151,1.36,oui
1.37,129,1.37,oui
1.38,152,1.38,oui
1.39,121,1.39,oui
1.4,3088,1.4,oui
1.41,134,1.41,oui
1.42,145,1.42,oui
1.43,117,1.43,oui
1.44,129,1.44,oui
1.45,131,1.45,oui
1.46,121,1.46,oui
1.47,138,1.47,oui
1.48,110,1.48,oui
1.49,133,1.49,oui
1.5,2828,1.5,oui
1.51,97,1.51,oui
1.52,119,1.52,oui
1.53,113,1.53,oui
1.54,108,1.54,oui
1.55,112,1.55,oui
1.56,123,1.56,oui
1.57,114,1.57,oui
1.58,127,1.58,oui
1.59,110,1.59,oui
1.6,2574,1.6,oui
1.61,101,1.61,oui
1.62,99,1.62,oui
1.63,109,1.63,oui
1.64,105,1.64,oui
1.65,121,1.65,oui
1.66,101,1.66,oui
1.67,97,1.67,oui
1.68,89,1.68,oui
1.69,92,1.69,oui
1.7,2418,1.7,oui
1.71,90,1.71,oui
1.72,76,1.72,oui
1.73,94,1.73,oui
1.74,90,1.74,oui
1.75,92,1.75,oui
1.76,67,1.76,oui
1.77,93,1.77,oui
1.78,86,1.78,oui
1.79,76,1.79,oui
1.8,2251,1.8,oui
1.81,77,1.81,oui
1.82,79,1.82,oui
1.83,69,1.83,oui
1.84,58,1.84,oui
1.85,77,1.85,oui
1.86,72,1.86,oui
1.87,77,1.87,oui
1.88,91,1.88,oui
1.89,75,1.89,oui
1.9,1942,1.9,oui
1.91,67,1.91,oui
1.92,72,1.92,oui
1.93,61,1.93,oui
1.94,80,1.94,oui
1.95,68,1.95,oui
1.96,63,1.96,oui
1.97,61,1.97,oui
1.98,64,1.98,oui
1.99,42,1.99,oui
2.0,1717,2.0,oui
2.01,63,2.01,oui
2.02,62,2.02,oui
2.03,49,2.03,oui
2.04,64,2.04,oui
2.05,44,2.05,oui
2.06,40,2.06,oui
2.07,47,2.07,oui
2.08,45,2.08,oui
2.09,45,2.09,oui
2.1,1430,2.1,oui
2.11,39,2.11,oui
2.12,35,2.12,oui
2.13,44,2.13,oui
2.14,50,2.14,oui
2.15,39,2.15,oui
2.16,34,2.16,oui
2.17,41,2.17,oui
2.18,30,2.18,oui
2.19,41,2.19,oui
2.2,1345,2.2,oui
2.21,30,2.21,oui
2.22,32,2.22,oui
2.23,31,2.23,oui
2.24,23,2.24,oui
2.25,39,2.25,oui
2.26,36,2.26,oui
2.27,38,2.27,oui
2.28,43,2.28,oui
2.29,25,2.29,oui
2.3,1173,2.3,oui
2.31,27,2.31,oui
2.32,26,2.32,oui
2.33,31,2.33,oui
2.34,26,2.34,oui
2.35,29,2.35,oui
2.36,25,2.36,oui
2.37,27,2.37,oui
2.38,19,2.38,oui
2.39,34,2.39,oui
2.4,1054,2.4,oui
2.41,25,2.41,oui
2.42,28,2.42,oui
2.43,27,2.43,oui
2.44,30,2.44,oui
2.45,27,2.45,oui
2.46,22,2.46,oui
2.47,27,2.47,oui
2.48,11,2.48,oui
2.49,15,2.49,oui
2.5,1061,2.5,oui
2.51,21,2.51,oui
2.52,16,2.52,oui
2.53,23,2.53,oui
2.54,25,2.54,oui
2.55,31,2.55,oui
2.56,17,2.56,oui
2.57,27,2.57,oui
2.58,22,2.58,oui
2.59,17,2.59,oui
2.6,982,2.6,oui
2.61,17,2.61,oui
2.62,18,2.62,oui
2.63,17,2.63,oui
2.64,12,2.64,oui
2.65,25,2.65,oui
2.66,17,2.66,oui
2.67,14,2.67,oui
2.68,16,2.68,oui
2.69,11,2.69,oui
2.7,934,2.7,oui
2.71,15,2.71,oui
2.72,12,2.72,oui
2.73,17,2.73,oui
2.74,17,2.74,oui
2.75,9,2.75,oui
2.76,10,2.76,oui
2.77,11,2.77,oui
2.78,9,2.78,oui
2.79,13,2.79,oui
2.8,875,2.8,oui
2.81,20,2.81,oui
2.82,12,2.82,oui
2.83,20,2.83,oui
2.84,25,2.84,oui
2.85,13,2.85,oui
2.86,11,2.86,oui
2.87,11,2.87,oui
2.88,11,2.88,oui
2.89,7,2.89,oui
2.9,824,2.9,oui
2.91,11,2.91,oui
2.92,12,2.92,oui
2.93,16,2.93,oui
2.94,14,2.94,oui
2.95,5,2.95,oui
2.96,11,2.96,oui
2.97,9,2.97,oui
2.98,10,2.98,oui
2.99,6,2.99,oui
3.0,636,3.0,oui
3.01,10,3.01,oui
3.02,6,3.02,oui
3.03,12,3.03,oui
3.04,8,3.04,oui
3.05,6,3.05,oui
3.06,5,3.06,oui
3.07,5,3.07,oui
3.08,5,3.08,oui
3.09,8,3.09,oui
3.1,499,3.1,oui
3.11,7,3.11,oui
3.12,9,3.12,oui
3.13,9,3.13,oui
3.14,5,3.14,oui
3.15,3,3.15,oui
3.16,5,3.16,oui
3.17,7,3.17,oui
3.18,6,3.18,oui
3.19,10,3.19,oui
3.2,377,3.2,oui
3.21,4,3.21,oui
3.22,4,3.22,oui
3.23,4,3.23,oui
3.24,6,3.24,oui
3.25,7,3.25,oui
3.26,1,3.26,oui
3.27,4,3.27,oui
3.28,3,3.28,oui
3.29,5,3.29,oui
3.3,283,3.3,oui
3.31,2,3.31,oui
3.32,3,3.32,oui
3.33,2,3.33,oui
3.34,1,3.34,oui
3.35,5,3.35,oui
3.36,2,3.36,oui
3.37,1,3.37,oui
3.39,4,3.39,oui
3.4,258,3.4,oui
3.41,4,3.41,oui
3.42,3,3.42,oui
3.43,4,3.43,oui
3.44,2,3.44,oui
3.45,4,3.45,oui
3.46,2,3.46,oui
3.47,5,3.47,oui
3.48,2,3.48,oui
3.5,114,3.5,oui
3.51,3,3.51,oui
3.52,4,3.52,oui
3.53,2,3.53,oui
3.54,4,3.54,oui
3.55,3,3.55,oui
3.56,2,3.56,oui
3.57,2,3.57,oui
3.58,3,3.58,oui
3.59,4,3.59,oui
3.6,114,3.6,oui
3.61,2,3.61,oui
3.63,4,3.63,oui
3.64,5,3.64,oui
3.65,3,3.65,oui
3.66,1,3.66,oui
3.67,1,3.67,oui
3.68,2,3.68,oui
3.69,1,3.69,oui
3.7,126,3.7,oui
3.71,1,3.71,oui
3.73,1,3.73,oui
3.74,2,3.74,oui
3.75,1,3.75,oui
3.78,2,3.78,oui
3.8,149,3.8,oui
3.81,2,3.81,oui
3.82,2,3.82,oui
3.84,2,3.84,oui
3.85,2,3.85,oui
3.88,2,3.88,oui
3.9,209,3.9,oui
3.91,1,3.91,oui
3.92,2,3.92,oui
3.93,1,3.93,oui
3.99,1,3.99,oui
4.0,1040,4.0,oui
4.01,1,4.01,oui
4.02,1,4.02,oui
4.03,1,4.03,oui
4.04,2,4.04,oui
4.05,1,4.05,oui
4.08,1,4.08,oui
4.1,1480,4.1,oui
4.11,2,4.11,oui
4.14,2,4.14,oui
4.16,2,4.16,oui
4.19,1,4.19,oui
4.2,1750,4.2,oui
4.21,1,4.21,oui
4.22,1,4.22,oui
4.23,1,4.23,oui
4.24,2,4.24,oui
4.29,1,4.29,oui
4.3,1872,4.3,oui
4.38,1,4.38,oui
4.39,2,4.39,oui
4.4,1898,4.4,oui
4.43,2,4.43,oui
4.5,1757,4.5,oui
4.58,1,4.58,oui
4.59,2,4.59,oui
4.6,1521,4.6,oui
4.68,1,4.68,oui
4.7,1036,4.7,oui
4.72,1,4.72,oui
4.8,668,4.8,oui
4.9,432,4.9,oui
5.0,320,5.0,oui
5.1,257,5.1,oui
5.2,192,5.2,oui
5.3,153,5.3,oui
5.4,96,5.4,oui
5.5,64,5.5,oui
5.6,72,5.6,oui
5.7,45,5.7,oui
5.8,45,5.8,oui
5.9,23,5.9,oui
6.0,25,6.0,oui
6.1,21,6.1,oui
6.2,19,6.2,oui
6.3,14,6.3,oui
6.4,7,6.4,oui
6.5,12,6.5,oui
6.6,9,6.6,oui
6.7,5,6.7,oui
6.8,3,6.8,oui
6.9,7,6.9,oui
7.1,3,7.1,oui
7.2,1,7.2,oui
7.3,1,7.3,oui
7.4,1,7.4,oui
7.5,1,7.5,oui
7.6,1,7.6,oui
7.7,1,7.7,oui
7.9,1,7.9,oui
8.2,1,8.2,oui
